what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1557370874543
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1557370874543
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1557370874543
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1557370874543
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1557370874543
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1557370874543
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1557370874543
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1557370874543
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1557370874543
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1557370874543
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1557370874543
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1557370874543
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1557370874543
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1557370874543
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1557370874543
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1557370874543
os,sysinfo,,,"win32",1557370874546
arch,sysinfo,,,"x86_64",1557370874546
ws,sysinfo,,,"win32",1557370874546
locale,sysinfo,,,"zh_CN",1557370874546
processors,sysinfo,,,"12",1557370874546
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1557370874546
java.runtime.version,sysinfo,,,"1.8.0_91-b14",1557370874546
java.specification.name,sysinfo,,,"Java Platform API Specification",1557370874546
java.specification.vendor,sysinfo,,,"Oracle Corporation",1557370874546
java.specification.version,sysinfo,,,"1.8",1557370874546
java.vendor,sysinfo,,,"Oracle Corporation",1557370874546
java.version,sysinfo,,,"1.8.0_91",1557370874546
java.vm.info,sysinfo,,,"mixed mode",1557370874546
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1557370874546
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1557370874546
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1557370874546
java.vm.specification.version,sysinfo,,,"1.8",1557370874546
java.vm.vendor,sysinfo,,,"Oracle Corporation",1557370874546
java.vm.version,sysinfo,,,"25.91-b14",1557370874546
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1557370874757
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project hibernate-1.",1557370874997
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project JavaProject01.",1557370875011
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project jdbc-2.",1557370875023
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project jpa-1.",1557370875026
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project MakeFriends.",1557370875037
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project mvn_command.",1557370875040
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project Mybatis_01_HelloWorld.",1557370875107
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project Mybatis_02_config.",1557370875154
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project Mybatis_03_mapper.",1557370875216
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project osals-base.",1557370875274
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project osals-dao.",1557370875277
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project osals-service.",1557370875280
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project Parent.",1557370875282
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project Servers.",1557370875286
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project spring-1.",1557370875287
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project WebProjct02.",1557370875291
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1557370877987
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1557370878260
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1557370878328
started,bundle,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.ui",1557370878330
